Match Date,Team..1,Team..2,Winner,Margin,Ground
06-Jul-23,U.A.E.,U.S.A.,U.A.E.,1 run,Harare
07-Jul-23,Sri Lanka,West Indies,Sri Lanka,8 wickets,Harare
08-Jul-23,Bangladesh,Afghanistan,Afghanistan,142 runs,Chattogram
09-Jul-23,Netherlands,Sri Lanka,Sri Lanka,128 runs,Harare
11-Jul-23,Bangladesh,Afghanistan,Bangladesh,7 wickets,Chattogram
27-Jul-23,West Indies,India,India,5 wickets,Bridgetown
29-Jul-23,West Indies,India,West Indies,6 wickets,Bridgetown
01-Aug-23,West Indies,India,India,200 runs,Tarouba
22-Aug-23,Afghanistan,Pakistan,Pakistan,142 runs,Hambantota
24-Aug-23,Afghanistan,Pakistan,Pakistan,1 wicket,Hambantota
26-Aug-23,Afghanistan,Pakistan,Pakistan,59 runs,Colombo (RPS)
30-Aug-23,Pakistan,Nepal,Pakistan,238 runs,Multan
31-Aug-23,Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Pallekele
02-Sep-23,India,Pakistan,no result,-,Pallekele
03-Sep-23,Afghanistan,Bangladesh,Bangladesh,89 runs,Lahore
04-Sep-23,India,Nepal,India,10 wickets,Pallekele
05-Sep-23,Afghanistan,Sri Lanka,Sri Lanka,2 runs,Lahore
06-Sep-23,Pakistan,Bangladesh,Pakistan,7 wickets,Lahore
07-Sep-23,South Africa,Australia,Australia,3 wickets,Bloemfontein
08-Sep-23,England,New Zealand,New Zealand,8 wickets,Cardiff
09-Sep-23,Sri Lanka,Bangladesh,Sri Lanka,21 runs,Colombo (RPS)
09-Sep-23,South Africa,Australia,Australia,123 runs,Bloemfontein
11-Sep-23,India,Pakistan,India,228 runs,Colombo (RPS)
10-Sep-23,England,New Zealand,England,79 runs,Southampton
12-Sep-23,Sri Lanka,India,India,41 runs,Colombo (RPS)
12-Sep-23,South Africa,Australia,South Africa,111 runs,Potchefstroom
13-Sep-23,England,New Zealand,England,181 runs,The Oval
14-Sep-23,Sri Lanka,Pakistan,Sri Lanka,2 wickets,Colombo (RPS)
15-Sep-23,Bangladesh,India,Bangladesh,6 runs,Colombo (RPS)
15-Sep-23,South Africa,Australia,South Africa,164 runs,Centurion
15-Sep-23,England,New Zealand,England,100 runs,Lord's
17-Sep-23,South Africa,Australia,South Africa,122 runs,Johannesburg
17-Sep-23,Sri Lanka,India,India,10 wickets,Colombo (RPS)
